trial,stimulus,chosen_action,correct_action,is_correct,accuracy
50,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.44
51,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.45098039215686275
52,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4423076923076923
53,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4339622641509434
54,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.42592592592592593
55,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.41818181818181815
56,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.42857142857142855
57,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.43859649122807015
58,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.4482758620689655
59,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.4576271186440678
60,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.4666666666666667
61,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.47540983606557374
62,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.46774193548387094
63,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.47619047619047616
64,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.484375
65,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.49230769230769234
66,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5
67,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5074626865671642
68,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5147058823529411
69,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5217391304347826
70,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5142857142857142
71,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5211267605633803
72,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5138888888888888
73,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5205479452054794
74,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5135135135135135
75,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.5066666666666667
76,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5
77,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5064935064935064
78,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5128205128205128
79,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5189873417721519
80,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5125
81,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5185185185185185
82,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.524390243902439
83,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5180722891566265
84,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.5119047619047619
85,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5176470588235295
86,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5232558139534884
87,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5172413793103449
88,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5113636363636364
89,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5168539325842697
90,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5222222222222223
91,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5274725274725275
92,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.5217391304347826
93,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.5161290322580645
94,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5212765957446809
95,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5263157894736842
96,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5208333333333334
97,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.5154639175257731
98,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5102040816326531
99,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5151515151515151
100,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.51
101,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.504950495049505
102,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.5
103,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.49514563106796117
104,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5
105,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.49523809523809526
106,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.49056603773584906
107,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.4953271028037383
108,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5
109,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5045871559633027
110,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.5
111,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4954954954954955
112,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.5
113,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.49557522123893805
114,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.5
115,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.4956521739130435
116,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.5
117,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.49572649572649574
118,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.4915254237288136
119,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.4957983193277311
120,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.49166666666666664
121,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.48760330578512395
122,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.48360655737704916
123,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.4878048780487805
124,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.49193548387096775
125,letter-A,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.488
126,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.48412698412698413
127,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.48031496062992124
128,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.484375
129,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.4806201550387597
130,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.4846153846153846
